dam_name,official_water_system,official_river,official_source,note,unverified
宇奈月ダム,黒部川,黒部川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
室牧ダム,神通川,室牧川,富山県「室牧ダムの概要」（2026年9月5日閲覧）,国土数値情報は上位河川の井田川で登録。実際は井田川支流の室牧川,
熊野川ダム,神通川,熊野川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
久婦須川ダム,神通川,久婦須川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
和田川ダム,庄川,和田川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
利賀川ダム,庄川,利賀川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
境川ダム,庄川,境川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
刀利ダム,小矢部川,小矢部川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,管理者区分は未確認（国土数値情報の管理者コードと当方の「県農林」表記が整合しない。コード表を確認できていない）
五位ダム,小矢部川,子撫川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,管理者区分は未確認（国土数値情報の管理者コードと当方の「県農林」表記が整合しない。コード表を確認できていない）
子撫川ダム,小矢部川,子撫川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
城端ダム,小矢部川,山田川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
臼中ダム,小矢部川,打尾川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,管理者区分は未確認（国土数値情報の管理者コードと当方の「県農林」表記が整合しない。コード表を確認できていない）
朝日小川ダム,小川,小川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
角川ダム,角川,角川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
上市川ダム,上市川,上市川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
上市川第二ダム,上市川,上市川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,国土数値情報の表記は「上市川第2」,
白岩川ダム,白岩川,白岩川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
舟川ダム,小川,舟川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
布施川ダム,片貝川,布施川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
大谷ダム,黒瀬川,大谷川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
黒部ダム,黒部川,黒部川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
有峰ダム,常願寺川,和田川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
出し平ダム,黒部川,黒部川,国土数値情報 W01-14「ダム」（国土交通省、2014年公開）,,
